month,electr
2008-01,3808
2008-02,3281
2008-03,2923
2008-04,2593
2008-05,2449
2008-06,2393
2008-07,2540
2008-08,2560
2008-09,2480
2008-10,2695
2008-11,3000
2008-12,3320
2009-01,3627
2009-02,3098
2009-03,3122
2009-04,2436
2009-05,2311
2009-06,2292
2009-07,2461
2009-08,2406
2009-09,2304
2009-10,2617
2009-11,2813
2009-12,3253
2010-01,3496
2010-02,3074
2010-03,3041
2010-04,2460
2010-05,2303
2010-06,2291
2010-07,2401
2010-08,2495
2010-09,2212
2010-10,2721
2010-11,2545
2010-12,3219
2011-01,3541
2011-02,3176
2011-03,3174
2011-04,2502
2011-05,2297
2011-06,2363
2011-07,2499
2011-08,2480
2011-09,2353
2011-10,2748
2011-11,3161
2011-12,3316
2012-01,3619
2012-02,3636
2012-03,3121
2012-04,2444
2012-05,2368
2012-06,2389
2012-07,2602
2012-08,2515
2012-09,2285
2012-10,2419
2012-11,2781
2012-12,3394
2013-01,3495
2013-02,3066
2013-03,3144
2013-04,2639
2013-05,2267
2013-06,2331
2013-07,2455
2013-08,2455
2013-09,2308
2013-10,2599
2013-11,2759
2013-12,3378
2014-01,3346
2014-02,2898
2014-03,2799
2014-04,2560
2014-05,2431
2014-06,2370
2014-07,2501
2014-08,2488
2014-09,2375
2014-10,2665
2014-11,2966
2014-12,3273
2015-01,3491
2015-02,3048
2015-03,3104
2015-04,2579
2015-05,2306
2015-06,2307
2015-07,2611
2015-08,2534
2015-09,2395
2015-10,2631
2015-11,2693
2015-12,3076
2016-01,3633
2016-02,2872
2016-03,2896
2016-04,2373
2016-05,2384
2016-06,2381
2016-07,2548
2016-08,2516
2016-09,2410
2016-10,2701
2016-11,2933
2016-12,3507
2017-01,3515
2017-02,2847
2017-03,2618
2017-04,2400
2017-05,2232
2017-06,2201
2017-07,2393
2017-08,2398
2017-09,2262
2017-10,2438
2017-11,2683
2017-12,2904
2018-01,3103
2018-02,2802
2018-03,2785
2018-04,2037
2018-05,2154
2018-06,2211
2018-07,2317
2018-08,2361
2018-09,2235
2018-10,2414
2018-11,2737
2018-12,3216
2019-01,3327
2019-02,2806
2019-03,2649
2019-04,2476
2019-05,2350
2019-06,2320
2019-07,2464
2019-08,2449
2019-09,2283
2019-10,2387
2019-11,2565
2019-12,:
